                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0027,                 3.6603,                 2.2735,                0.66954,                0.30714,                0.39749,                0.17031,                  1.816,                 5.8409,                 2.1494,              0.0001667,              0.0001667,              0.0001667
                      1,                 1.7536,                 2.6673,                 1.9582,                0.15676,                0.22381,                0.09974,                0.03567,                 1.7288,                 4.9869,                 2.4437,              0.0003466,              0.0003466,              0.0003466
                      2,                 1.6256,                 2.2386,                  1.816,                0.31977,                0.51905,                0.34306,                0.10562,                 2.6093,                 6.3822,                 3.3384,             0.00052288,             0.00052288,             0.00052288
                      3,                 1.7058,                 2.2011,                 1.8891,                 0.0344,                0.22619,                0.04085,                 0.0165,                 2.6124,                    inf,                 8.0284,             0.00069552,             0.00069552,             0.00069552
                      4,                 1.7713,                 2.1758,                 1.8954,                0.50928,                0.08571,                0.00359,                0.00074,                 4.3719,                  46.21,                 9.4088,             0.00086453,             0.00086453,             0.00086453
                      5,                 1.8145,                 2.1315,                 1.9546,                0.00478,                0.42857,                0.00507,                0.00188,                 2.6566,                    inf,                 43.067,              0.0010299,              0.0010299,              0.0010299
                      6,                 1.8589,                    2.1,                 1.9609,                0.01915,                0.39762,                0.02306,                0.00612,                 3.1459,                 329.15,                 38.451,              0.0011917,              0.0011917,              0.0011917
                      7,                 1.9731,                 2.1327,                 1.9802,                0.50506,                0.34286,                0.00521,                  0.002,                 3.1871,                    inf,                 39.314,              0.0013498,              0.0013498,              0.0013498
                      8,                 1.9731,                 2.2158,                   2.01,                0.00316,                0.34286,                0.00329,                0.00217,                 3.3644,                    inf,                 71.191,              0.0015043,              0.0015043,              0.0015043
                      9,                 2.1166,                 2.4339,                 2.1525,                0.00694,                0.56429,                0.00581,                0.00202,                 3.4501,                    inf,                 61.221,              0.0015185,              0.0015185,              0.0015185
                     10,                 1.9376,                 2.1668,                 2.0085,                0.01031,                0.21429,                0.01065,                0.00378,                 2.9902,                 90.369,                 5.9734,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.9199,                 2.2094,                 1.9729,                0.01695,                0.18333,                0.01192,                0.00366,                 3.3255,                 95.643,                 11.051,               0.001502,               0.001502,               0.001502
                     12,                 1.8558,                 2.0338,                  1.922,                0.05125,                0.26667,                0.06701,                0.01104,                 3.0929,                  66.37,                 11.561,              0.0014855,              0.0014855,              0.0014855
