                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0288,                 2.8876,                 1.4078,                      1,                0.05894,                0.39824,                0.26376,                 0.9935,                 3.3559,                 1.5949,             0.00036005,             0.00036005,             0.00036005
                      1,                 1.1258,                 2.1283,                  1.472,                 0.5256,                0.61523,                 0.5764,                0.33024,                 1.3619,                  2.353,                 2.0678,             0.00072315,             0.00072315,             0.00072315
                      2,                 1.1152,                 1.8225,                 1.4401,                0.63513,                0.61513,                0.65922,                 0.3584,                 1.2887,                 2.6611,                 2.0208,              0.0010789,              0.0010789,              0.0010789
                      3,                 1.1627,                 1.8405,                 1.4777,                0.63167,                0.58778,                0.61232,                0.35239,                 1.4176,                 2.4139,                 2.2799,               0.001078,               0.001078,               0.001078
                      4,                 1.1867,                 1.8026,                  1.494,                0.64622,                0.53493,                0.61005,                0.35327,                 1.3933,                 2.2889,                 2.0693,               0.001078,               0.001078,               0.001078
                      5,                  1.172,                 1.6983,                 1.4759,                0.62995,                0.43776,                0.43188,                0.24212,                  1.745,                 3.1636,                 2.7624,               0.001067,               0.001067,               0.001067
                      6,                 1.1423,                 1.5967,                 1.4471,                0.57721,                0.54495,                0.53886,                0.31876,                 1.4227,                 1.8903,                 2.1738,               0.001056,               0.001056,               0.001056
                      7,                 1.1225,                 1.5877,                 1.4541,                 0.6711,                0.60495,                0.66781,                0.38338,                 1.5942,                 1.8684,                 2.5101,               0.001045,               0.001045,               0.001045
                      8,                 1.1431,                 1.5609,                 1.4367,                0.68031,                0.63258,                0.66716,                0.37522,                 1.4037,                 2.0883,                 2.0032,               0.001034,               0.001034,               0.001034
                      9,                 1.1438,                 1.4435,                 1.4326,                0.79525,                0.67032,                0.77457,                0.45794,                 1.3563,                 1.5972,                 1.8975,               0.001023,               0.001023,               0.001023
                     10,                 1.0939,                 1.4185,                 1.4065,                 0.7276,                0.63798,                0.70588,                0.44396,                 1.1374,                  1.747,                 1.7216,               0.001012,               0.001012,               0.001012
                     11,                 1.0599,                 1.3604,                 1.3907,                0.76459,                0.65596,                0.73056,                0.43898,                 1.3454,                 1.6614,                 2.0448,               0.001001,               0.001001,               0.001001
                     12,                 1.0799,                 1.3537,                 1.3726,                0.81251,                0.77674,                0.83374,                0.55384,                 1.2876,                 1.4698,                 1.9035,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.0438,                 1.3026,                  1.365,                0.62286,                0.68346,                0.69798,                0.44608,                 1.2423,                 1.7662,                 1.7752,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.0408,                 1.2769,                 1.3807,                0.84662,                0.71096,                0.76648,                0.52756,                 1.1962,                 1.5232,                 1.8185,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.0167,                 1.2356,                 1.3514,                0.82353,                 0.7251,                0.83433,                0.56111,                 1.1274,                 1.2427,                 1.6751,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.0239,                 1.2084,                 1.3415,                0.77175,                0.74345,                0.79739,                0.54059,                  1.118,                 1.3646,                 1.6893,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.0128,                 1.1495,                  1.335,                 0.7916,                0.76579,                0.82577,                0.56497,                 1.1689,                 1.1794,                 1.7135,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.0193,                 1.1693,                 1.3472,                0.84537,                0.77248,                0.84965,                0.57899,                 1.2599,                 1.1159,                 1.8369,             0.00092402,             0.00092402,             0.00092402
                     19,                0.97674,                 1.1051,                 1.3174,                 0.8071,                0.74114,                0.79302,                0.49829,                  1.314,                 1.2306,                 1.8235,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.0143,                 1.1288,                 1.3412,                0.85099,                0.74949,                0.84125,                0.55759,                 1.2435,                 1.1698,                 1.8339,             0.00090202,             0.00090202,             0.00090202
                     21,                 0.9799,                 1.0972,                  1.344,                0.83267,                 0.7364,                0.81337,                0.53946,                 1.1495,                 1.2739,                 1.7465,             0.00089102,             0.00089102,             0.00089102
                     22,                0.97051,                 1.0752,                 1.3049,                0.84091,                 0.8092,                0.85158,                0.61085,                 1.0202,                 1.0308,                  1.575,             0.00088002,             0.00088002,             0.00088002
                     23,                0.96592,                 1.0436,                 1.3109,                0.86968,                0.73722,                0.85124,                0.61545,                  1.039,                 1.0495,                   1.63,             0.00086902,             0.00086902,             0.00086902
                     24,                0.98003,                 1.0824,                 1.3135,                0.82061,                 0.8263,                0.86946,                0.61657,                  1.108,                 1.0617,                 1.6822,             0.00085803,             0.00085803,             0.00085803
                     25,                 0.9398,                 1.0055,                 1.2981,                0.90322,                0.83641,                0.89502,                0.65283,                 1.0303,                0.94669,                 1.5878,             0.00084703,             0.00084703,             0.00084703
