                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.79829,                 2.8676,                 1.2001,                0.65063,                0.81956,                0.75727,                0.63122,                0.64826,                 1.0216,                 1.1117,             0.00036152,             0.00036152,             0.00036152
                      1,                0.83946,                 1.1101,                 1.2313,                0.78735,                   0.78,                0.79488,                0.62279,                0.85766,                 0.9473,                 1.2865,             0.00072823,             0.00072823,             0.00072823
                      2,                0.86785,                0.98789,                 1.2471,                0.86234,                0.82162,                0.87449,                0.68019,                0.84256,                0.79578,                 1.2777,              0.0010913,              0.0010913,              0.0010913
                      3,                0.88303,                0.95965,                 1.2568,                0.93396,                0.83172,                0.91073,                0.71943,                0.80104,                0.77934,                 1.2767,              0.0010945,              0.0010945,              0.0010945
                      4,                0.92665,                0.94363,                 1.2893,                 0.8356,                0.84567,                0.89775,                0.69069,                0.85184,                0.79336,                 1.2934,              0.0010945,              0.0010945,              0.0010945
                      5,                0.91372,                0.92826,                 1.2729,                0.77066,                0.74357,                0.76584,                 0.5721,                0.98054,                 1.2168,                 1.4556,               0.001089,               0.001089,               0.001089
                      6,                0.92561,                0.94285,                 1.2859,                0.95021,                0.87059,                0.92343,                0.71506,                0.90158,                0.78918,                 1.3303,              0.0010835,              0.0010835,              0.0010835
                      7,                0.91574,                0.93917,                 1.2833,                0.75772,                0.68282,                0.72327,                0.47438,                 1.2144,                 1.2978,                 1.7948,               0.001078,               0.001078,               0.001078
                      8,                0.89993,                 0.8947,                 1.2613,                0.93107,                0.83191,                0.89935,                0.67438,                0.93905,                0.79219,                  1.336,              0.0010725,              0.0010725,              0.0010725
                      9,                0.92898,                0.91627,                 1.2862,                0.90469,                0.87553,                 0.9218,                0.68081,                0.86993,                0.74867,                 1.3192,               0.001067,               0.001067,               0.001067
                     10,                0.89056,                0.93997,                 1.2722,                0.92215,                0.76513,                0.88815,                0.65608,                 0.9783,                0.91271,                 1.3856,              0.0010615,              0.0010615,              0.0010615
                     11,                0.87159,                0.85242,                  1.268,                0.92491,                 0.9138,                0.94022,                0.69862,                0.96821,                0.59806,                 1.3701,               0.001056,               0.001056,               0.001056
                     12,                0.87947,                0.84069,                 1.2427,                0.87979,                0.87999,                0.92235,                0.71285,                0.92409,                 0.6535,                 1.3158,              0.0010505,              0.0010505,              0.0010505
                     13,                0.87331,                 0.8317,                 1.2584,                0.85586,                0.84813,                0.90373,                0.68657,                 0.9596,                0.75049,                 1.3261,               0.001045,               0.001045,               0.001045
                     14,                0.84564,                0.84467,                 1.2405,                0.94623,                0.84788,                0.93474,                0.70062,                0.96608,                 0.6883,                 1.3714,              0.0010395,              0.0010395,              0.0010395
                     15,                0.85601,                0.80715,                 1.2368,                 0.9168,                0.86605,                0.93171,                0.70576,                0.99791,                0.74379,                 1.3681,               0.001034,               0.001034,               0.001034
                     16,                0.83216,                0.79954,                 1.2285,                0.86691,                0.86823,                0.91053,                0.68122,                0.98729,                0.75861,                 1.3777,              0.0010285,              0.0010285,              0.0010285
                     17,                0.84788,                0.81595,                 1.2342,                0.84362,                0.85431,                0.86336,                0.60859,                 1.1079,                0.83512,                 1.5057,               0.001023,               0.001023,               0.001023
                     18,                0.87027,                0.84009,                 1.2486,                0.86318,                0.86526,                0.91514,                0.68814,                 1.0246,                0.74786,                 1.3827,              0.0010175,              0.0010175,              0.0010175
                     19,                0.85923,                0.83784,                 1.2416,                0.92826,                0.83774,                0.88857,                0.65729,                0.99591,                0.82164,                  1.433,               0.001012,               0.001012,               0.001012
                     20,                0.84842,                0.80909,                 1.2311,                0.88092,                0.90145,                0.93322,                0.67818,                 1.0001,                0.70154,                 1.4054,              0.0010065,              0.0010065,              0.0010065
                     21,                0.83767,                0.78801,                 1.2293,                0.90469,                0.84294,                0.91221,                0.68937,                 1.0088,                0.75985,                  1.384,               0.001001,               0.001001,               0.001001
                     22,                0.84506,                0.81548,                 1.2359,                0.86607,                0.85044,                0.87743,                0.64216,                 1.1137,                0.80011,                 1.5074,             0.00099551,             0.00099551,             0.00099551
                     23,                0.80152,                0.74514,                 1.2025,                0.93647,                 0.8644,                0.93104,                0.70237,                0.99239,                0.69251,                 1.4062,             0.00099001,             0.00099001,             0.00099001
                     24,                0.83397,                0.77413,                   1.22,                0.89692,                0.89369,                0.93576,                0.69913,                0.99338,                0.67143,                 1.3954,             0.00098451,             0.00098451,             0.00098451
                     25,                0.82485,                0.76879,                 1.2154,                0.89403,                0.89408,                0.93705,                0.70779,                 1.0256,                0.71076,                 1.4231,             0.00097901,             0.00097901,             0.00097901
                     26,                0.85952,                0.75735,                 1.2429,                0.89493,                0.86075,                0.93111,                0.71981,                0.94544,                0.69238,                 1.3296,             0.00097351,             0.00097351,             0.00097351
                     27,                0.83354,                 0.7798,                 1.2286,                 0.9451,                 0.9077,                 0.9364,                0.71531,                0.95828,                0.70708,                 1.3508,             0.00096801,             0.00096801,             0.00096801
                     28,                0.81118,                0.74194,                 1.2055,                0.94835,                0.83563,                0.92635,                0.71101,                0.96028,                0.72114,                 1.3633,             0.00096251,             0.00096251,             0.00096251
                     29,                0.81883,                0.77901,                 1.2043,                0.88191,                0.90288,                0.91709,                 0.6692,                0.99344,                0.71839,                 1.4392,             0.00095702,             0.00095702,             0.00095702
                     30,                0.82767,                0.76692,                  1.218,                0.92679,                0.86605,                0.92552,                0.68924,                0.96755,                0.70186,                 1.3365,             0.00095152,             0.00095152,             0.00095152
                     31,                0.80465,                0.75495,                 1.2007,                0.92634,                0.89014,                0.94801,                0.72497,                0.88874,                0.63628,                 1.3086,             0.00094602,             0.00094602,             0.00094602
                     32,                0.81356,                0.72746,                 1.2138,                0.95812,                0.85758,                0.92686,                0.71212,                0.91876,                0.68727,                 1.3294,             0.00094052,             0.00094052,             0.00094052
                     33,                0.79177,                0.72949,                 1.2004,                0.86947,                0.77538,                0.85549,                 0.5906,                 1.1506,                0.93191,                 1.6209,             0.00093502,             0.00093502,             0.00093502
                     34,                 0.7853,                0.72132,                 1.1847,                0.92869,                 0.8887,                0.94018,                0.72921,                0.94233,                0.64654,                 1.3037,             0.00092952,             0.00092952,             0.00092952
                     35,                0.78776,                0.72673,                  1.181,                0.89967,                0.83408,                0.92572,                0.69605,                 0.9554,                0.76749,                 1.3399,             0.00092402,             0.00092402,             0.00092402
                     36,                 0.7683,                0.70158,                 1.1855,                0.90965,                0.86241,                0.92995,                  0.715,                0.91658,                0.70916,                 1.3008,             0.00091852,             0.00091852,             0.00091852
                     37,                0.79899,                0.72858,                 1.2061,                0.94236,                0.86699,                 0.9367,                0.69782,                0.95016,                0.67528,                 1.3711,             0.00091302,             0.00091302,             0.00091302
                     38,                0.80086,                0.74742,                 1.2152,                0.91866,                0.87826,                  0.918,                0.70122,                0.99475,                0.72871,                 1.4227,             0.00090752,             0.00090752,             0.00090752
                     39,                0.76432,                0.71928,                  1.177,                 0.9436,                0.84035,                 0.9116,                0.70729,                0.92743,                0.76368,                 1.3325,             0.00090202,             0.00090202,             0.00090202
                     40,                0.75761,                0.67695,                 1.1781,                0.97173,                0.86914,                0.93876,                0.71806,                0.97486,                 0.6671,                 1.3797,             0.00089652,             0.00089652,             0.00089652
                     41,                0.77387,                0.68871,                 1.1759,                  0.926,                0.84527,                0.90621,                0.69153,                 1.0132,                0.78123,                 1.3894,             0.00089102,             0.00089102,             0.00089102
                     42,                0.77481,                0.71048,                 1.1902,                0.96356,                0.86718,                0.93529,                0.70563,                0.94902,                0.66585,                 1.3928,             0.00088552,             0.00088552,             0.00088552
                     43,                0.74408,                0.68128,                 1.1651,                0.90925,                0.88763,                0.93033,                0.71653,                0.95675,                0.68886,                 1.3377,             0.00088002,             0.00088002,             0.00088002
                     44,                0.77382,                0.68263,                 1.1865,                0.94071,                0.86566,                0.94174,                0.70032,                 1.0475,                0.72526,                 1.4113,             0.00087452,             0.00087452,             0.00087452
                     45,                0.76423,                0.71929,                  1.169,                0.91943,                0.87175,                0.92943,                0.70789,                0.92891,                0.76294,                 1.3872,             0.00086902,             0.00086902,             0.00086902
                     46,                0.76521,                0.70057,                 1.1792,                0.92972,                0.90814,                0.94056,                0.71614,                0.90296,                0.62124,                 1.3312,             0.00086352,             0.00086352,             0.00086352
                     47,                0.74308,                0.66209,                 1.1669,                 0.9358,                0.85834,                0.93591,                0.73052,                0.88692,                0.67445,                 1.3014,             0.00085803,             0.00085803,             0.00085803
                     48,                0.75836,                0.67961,                 1.1734,                0.94057,                0.89218,                0.93796,                0.72221,                0.92818,                0.63242,                 1.3359,             0.00085253,             0.00085253,             0.00085253
                     49,                0.73948,                 0.6698,                 1.1569,                0.93845,                0.89367,                0.93492,                0.73087,                 0.9441,                0.61736,                 1.3439,             0.00084703,             0.00084703,             0.00084703
                     50,                0.73773,                0.67666,                  1.151,                0.93442,                0.90096,                0.93362,                0.70909,                0.99726,                0.60214,                 1.4026,             0.00084153,             0.00084153,             0.00084153
                     51,                0.74471,                0.69275,                 1.1697,                0.94916,                0.88229,                0.94487,                0.72244,                0.93534,                0.58909,                 1.3694,             0.00083603,             0.00083603,             0.00083603
                     52,                0.75838,                0.69563,                 1.1642,                0.90512,                0.92152,                0.95154,                0.72733,                0.99336,                0.58374,                 1.3711,             0.00083053,             0.00083053,             0.00083053
                     53,                0.71568,                0.62097,                  1.138,                0.96405,                 0.8849,                0.94872,                0.72435,                0.93434,                0.57354,                 1.3371,             0.00082503,             0.00082503,             0.00082503
                     54,                0.74955,                0.65369,                 1.1453,                0.91942,                0.86021,                   0.94,                0.70567,                0.96877,                0.58879,                 1.3687,             0.00081953,             0.00081953,             0.00081953
                     55,                 0.7367,                0.65645,                 1.1532,                0.91039,                0.88125,                0.93037,                0.70025,                0.93527,                0.64962,                 1.3518,             0.00081403,             0.00081403,             0.00081403
                     56,                0.76349,                0.68781,                 1.1783,                0.91214,                0.88736,                0.93523,                0.68977,                0.99503,                0.67119,                  1.393,             0.00080853,             0.00080853,             0.00080853
                     57,                0.70145,                0.61787,                 1.1409,                0.92085,                0.91164,                0.93814,                0.73151,                0.93341,                0.65455,                 1.3244,             0.00080303,             0.00080303,             0.00080303
                     58,                0.72097,                0.63225,                 1.1527,                0.96239,                0.88519,                0.94155,                 0.6977,                0.96185,                0.64439,                 1.3529,             0.00079753,             0.00079753,             0.00079753
                     59,                0.72068,                0.64806,                  1.152,                0.96489,                0.83622,                0.92851,                0.70742,                0.96019,                0.71311,                 1.3594,             0.00079203,             0.00079203,             0.00079203
                     60,                0.70884,                0.63004,                 1.1374,                0.93983,                0.89414,                0.93882,                0.70592,                0.97146,                0.66971,                 1.3661,             0.00078653,             0.00078653,             0.00078653
                     61,                0.72106,                0.61171,                 1.1307,                0.95125,                0.84105,                0.94311,                0.71233,                 1.0018,                0.61685,                 1.3668,             0.00078103,             0.00078103,             0.00078103
                     62,                0.73734,                0.68653,                 1.1579,                0.94912,                0.87838,                 0.9439,                0.71345,                 1.0302,                0.59038,                 1.3885,             0.00077553,             0.00077553,             0.00077553
                     63,                0.71218,                0.60916,                 1.1417,                0.91983,                0.91477,                0.93557,                0.71257,                 1.0433,                0.64351,                 1.4187,             0.00077003,             0.00077003,             0.00077003
                     64,                0.71134,                0.63271,                 1.1435,                0.93331,                0.89669,                0.95539,                0.69219,                 1.0124,                0.55816,                 1.4044,             0.00076453,             0.00076453,             0.00076453
                     65,                 0.7127,                0.62072,                  1.139,                0.92157,                0.92865,                0.94916,                0.71139,                0.99337,                0.60023,                  1.384,             0.00075904,             0.00075904,             0.00075904
                     66,                0.72154,                0.65611,                  1.153,                  0.945,                0.90321,                0.94332,                0.71134,                0.92281,                0.55027,                 1.3383,             0.00075354,             0.00075354,             0.00075354
                     67,                0.71368,                0.63636,                 1.1454,                0.93187,                0.88254,                0.93516,                0.71761,                0.94996,                0.59764,                 1.3743,             0.00074804,             0.00074804,             0.00074804
                     68,                0.69994,                0.61014,                 1.1297,                0.89284,                0.91921,                0.93264,                 0.7088,                0.96944,                0.61159,                 1.3923,             0.00074254,             0.00074254,             0.00074254
                     69,                 0.6759,                0.59785,                  1.121,                0.88471,                0.91594,                0.94286,                0.71095,                0.95486,                0.62996,                 1.3449,             0.00073704,             0.00073704,             0.00073704
                     70,                0.68304,                0.59305,                 1.1186,                0.94084,                0.88236,                0.93082,                0.69594,                 1.0684,                0.62926,                 1.4529,             0.00073154,             0.00073154,             0.00073154
                     71,                0.69541,                0.61365,                 1.1247,                 0.9479,                0.90352,                0.95642,                0.72648,                0.97042,                0.54366,                 1.3577,             0.00072604,             0.00072604,             0.00072604
                     72,                 0.6948,                0.61055,                 1.1058,                0.93144,                 0.9006,                0.94743,                0.72273,                0.97206,                0.58727,                 1.3487,             0.00072054,             0.00072054,             0.00072054
                     73,                0.69524,                0.60065,                 1.1167,                0.92636,                0.90758,                0.94182,                0.72011,                0.97827,                0.60594,                 1.3724,             0.00071504,             0.00071504,             0.00071504
                     74,                0.68811,                0.58141,                 1.1176,                0.95368,                0.89925,                0.94179,                0.72524,                0.91791,                0.73798,                 1.3347,             0.00070954,             0.00070954,             0.00070954
                     75,                0.69668,                0.60326,                 1.1215,                0.94571,                0.90168,                0.94139,                0.72078,                0.98954,                0.74212,                 1.3974,             0.00070404,             0.00070404,             0.00070404
                     76,                0.68464,                0.58662,                 1.1264,                0.96976,                0.86585,                0.94476,                0.71112,                 1.0191,                0.59011,                 1.3927,             0.00069854,             0.00069854,             0.00069854
                     77,                0.68341,                0.58522,                 1.1168,                0.94956,                0.89042,                0.91986,                0.72149,                0.94807,                0.60429,                 1.3295,             0.00069304,             0.00069304,             0.00069304
                     78,                0.66005,                0.58504,                 1.1009,                0.97363,                0.85412,                0.92934,                0.71904,                0.95271,                0.60707,                 1.3501,             0.00068754,             0.00068754,             0.00068754
                     79,                0.67746,                0.58886,                  1.112,                0.96264,                0.88667,                0.95117,                0.74166,                0.93829,                0.53292,                 1.3298,             0.00068204,             0.00068204,             0.00068204
                     80,                0.67292,                0.57786,                 1.1129,                0.96288,                0.90543,                0.95521,                0.74531,                0.91221,                0.53094,                 1.3293,             0.00067654,             0.00067654,             0.00067654
                     81,                0.65544,                0.56426,                 1.0954,                0.91199,                 0.9036,                0.93928,                0.72849,                0.92092,                0.62114,                 1.3348,             0.00067104,             0.00067104,             0.00067104
                     82,                0.66258,                0.54687,                 1.1012,                0.92403,                0.88221,                0.93044,                0.69584,                 1.0035,                0.78478,                 1.4613,             0.00066554,             0.00066554,             0.00066554
                     83,                0.67135,                0.59312,                 1.1156,                0.96947,                 0.9071,                0.95181,                0.73182,                0.90025,                0.58456,                 1.3205,             0.00066005,             0.00066005,             0.00066005
                     84,                0.65914,                0.57112,                  1.105,                0.93234,                0.88796,                 0.9281,                0.70473,                0.92714,                0.65609,                 1.3546,             0.00065455,             0.00065455,             0.00065455
                     85,                0.67482,                0.58006,                 1.1046,                 0.9491,                0.87716,                 0.9476,                0.72675,                0.95012,                0.58059,                 1.3511,             0.00064905,             0.00064905,             0.00064905
                     86,                0.65655,                0.57696,                 1.1022,                0.95732,                0.90052,                0.94992,                0.73477,                0.91999,                0.54363,                 1.3196,             0.00064355,             0.00064355,             0.00064355
                     87,                0.64805,                0.56983,                 1.1018,                0.95757,                0.88383,                 0.9501,                0.74363,                0.88901,                0.54921,                  1.298,             0.00063805,             0.00063805,             0.00063805
                     88,                0.66904,                0.57636,                 1.1232,                0.96091,                0.88843,                0.94898,                0.74224,                0.91791,                0.63988,                 1.3233,             0.00063255,             0.00063255,             0.00063255
                     89,                0.64746,                0.55472,                  1.102,                0.94523,                0.88046,                0.95118,                0.73642,                0.88131,                 0.6341,                  1.291,             0.00062705,             0.00062705,             0.00062705
                     90,                0.66218,                0.56238,                  1.116,                0.94567,                0.88596,                0.94859,                0.74356,                0.91964,                0.63218,                 1.3411,             0.00062155,             0.00062155,             0.00062155
